City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Poso,ID,75.69,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
636,Barra,BR,78.04,scattered clouds,-11.0894,-43.1417,Pousada Bahia
641,Nargana,PA,77.22,overcast clouds,9.4428,-78.5906,Dubbir
643,Calabozo,VE,84.76,scattered clouds,8.9242,-67.4293,Hotel Giardini
647,Pyapon,MM,76.19,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
648,Dhekiajuli,IN,77.77,overcast clouds,26.7,92.5,Hotel Chatteswari
650,Shimoda,JP,81.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
651,Nago,JP,84.63,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
652,Pilar,BR,76.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
654,Tutoia,BR,78.46,broken clouds,-2.7619,-42.2744,Pousada Guará's
657,Manavalakurichi,IN,77.77,overcast clouds,8.1333,77.3,Jebinrio home
660,Oussouye,SN,78.48,moderate rain,12.485,-16.5469,Auberge du Routard
663,Stabat,ID,77.2,overcast clouds,3.761,98.4513,Link VII damai
668,Pochutla,MX,89.42,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
669,Orbetello,IT,80.6,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
671,Turayf,SA,82.65,clear sky,31.6725,38.6637,Turaif
672,Normandin,CA,79.11,broken clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
674,Pailitas,CO,88.39,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
677,Cockburn Town,TC,82.22,few clouds,21.4612,-71.1419,Osprey Beach Hotel
683,Tuburan,PH,77.09,light rain,6.6439,122.2736,GT Site
684,Leninskoye,KZ,80.74,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
686,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
688,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
690,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
693,Banda Aceh,ID,80.02,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
698,Nipawin,CA,75.24,clear sky,53.3668,-104.0009,Tobin Lake Motel
700,Ewo,CG,77.77,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
706,Tezu,IN,76.21,heavy intensity rain,27.9167,96.1667,Circuit House
