City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Kalianget,ID,2022-07-16 15:29:47,-7.05,113.9333,81.32,76,36,9.42
84,Harper,LR,2022-07-16 15:29:47,4.375,-7.7169,77.86,77,99,11.45
85,Cruzeiro Do Sul,BR,2022-07-16 15:29:47,-29.5128,-51.9853,75.51,81,100,8.3
86,Lagos,NG,2022-07-16 15:26:49,6.5833,3.75,84.52,75,98,9.89
87,Hobart,AU,2022-07-16 15:25:25,-42.8794,147.3294,50.25,73,40,13.8
88,Patiya,BD,2022-07-16 15:29:48,22.2931,91.9762,85.95,79,75,5.75
89,Kidal,ML,2022-07-16 15:29:48,18.4411,1.4078,104.22,17,78,6.31
90,Walvis Bay,NA,2022-07-16 15:29:48,-22.9575,14.5053,94.15,10,0,9.22
91,Guiglo,CI,2022-07-16 15:29:49,6.5456,-7.4966,85.42,62,58,3.96
92,Rodrigues Alves,BR,2022-07-16 15:29:49,-7.738,-72.6509,88.0,60,27,4.36
93,Malatya,TR,2022-07-16 15:29:49,38.5,38.0,89.65,21,20,19.57
94,Tasiilaq,GL,2022-07-16 15:29:50,65.6145,-37.6368,53.76,76,100,1.03
95,Belen,TR,2022-07-16 15:30:50,36.4891,36.2233,80.74,55,0,19.57
96,Peleduy,RU,2022-07-16 15:30:50,59.6289,112.7406,57.76,93,100,1.19
97,Souillac,MU,2022-07-16 15:30:51,-20.5167,57.5167,70.18,73,40,10.36
98,Landeck,AT,2022-07-16 15:30:51,47.1301,10.5636,83.14,42,10,8.23
99,Sao Francisco De Assis,BR,2022-07-16 15:30:51,-29.5503,-55.1311,61.16,96,91,14.47
100,Hofn,IS,2022-07-16 15:30:52,64.2539,-15.2082,51.1,95,100,8.03
101,Charters Towers,AU,2022-07-16 15:30:52,-20.1,146.2667,54.81,91,0,8.3
102,Boende,CD,2022-07-16 15:30:52,-0.2167,20.8667,77.29,80,93,1.3
103,San Quintin,MX,2022-07-16 15:30:53,30.4833,-115.95,70.74,73,1,7.45
104,Beringovskiy,RU,2022-07-16 15:30:53,63.05,179.3167,49.91,78,83,7.09
105,Talaya,RU,2022-07-16 15:30:53,61.3833,152.75,64.47,84,98,3.69
106,Port Pirie,AU,2022-07-16 15:30:54,-33.1833,138.0167,53.42,93,3,11.9
107,Castro,BR,2022-07-16 15:30:54,-24.7911,-50.0119,74.68,48,72,15.28
108,Saint Anthony,US,2022-07-16 15:30:16,45.0205,-93.218,84.11,70,75,5.75
109,Saint George,US,2022-07-16 15:30:16,37.1041,-113.5841,94.42,30,0,4.61
110,Tautira,PF,2022-07-16 15:30:55,-17.7333,-149.15,75.65,60,78,23.78
111,Grand Gaube,MU,2022-07-16 15:30:55,-20.0064,57.6608,70.38,69,11,5.99
112,Burnie,AU,2022-07-16 15:30:55,-41.0667,145.9167,49.95,93,100,26.44
113,Ancud,CL,2022-07-16 15:30:55,-41.8697,-73.8203,43.23,76,100,15.52
114,Nishihara,JP,2022-07-16 15:30:56,26.1842,127.7558,84.25,86,40,14.97
115,Yauya,PE,2022-07-16 15:30:56,-8.9833,-77.3,56.35,53,83,3.8
116,Asau,RO,2022-07-16 15:30:56,46.4333,26.4,81.52,29,9,11.01
117,Port Elizabeth,ZA,2022-07-16 15:30:57,-33.918,25.5701,77.29,31,0,6.91
118,Marystown,CA,2022-07-16 15:30:57,47.1666,-55.1483,66.85,100,5,10.0
119,Havelock,US,2022-07-16 15:26:53,34.8791,-76.9013,84.02,84,75,9.22
120,Guerrero,MX,2022-07-16 15:30:58,17.6667,-100.0,72.43,81,94,3.22
121,Pevek,RU,2022-07-16 15:30:58,69.7008,170.3133,33.08,94,100,7.76
122,Upernavik,GL,2022-07-16 15:30:58,72.7868,-56.1549,48.56,58,71,4.47
123,Sakaiminato,JP,2022-07-16 15:30:59,35.55,133.2333,73.38,94,75,3.44
124,Constitucion,CL,2022-07-16 15:28:40,-35.3333,-72.4167,48.97,76,84,6.26
